PARTY_TYPE_DESC,GENDER_CODE,INGRESOS_SAS,STREET_STATE_NAME,STREET_STATE_CODE,OCCUPATION_DESC,INDUSTRY_CODE,TOT_TXN,NO_TXN,TOT_CR,TOT_DB,TOT_EFE,TOT_ELE,ORIGEN_FONDOS
0,1,2519,29,76001.0,0,9820,12156,11,10939,0,0.0,655,8002
0,0,2519,14,11001.0,3,8622,12134,98,10855,0,4620000.0,655,3419
0,0,2519,14,11001.0,3,4773,13306,208,12117,0,7552000.0,655,7635
0,1,2519,14,11001.0,3,4755,13308,204,12102,0,6000000.0,655,3545
0,1,2519,14,11001.0,3,112,12248,72,11064,0,0.0,655,175
0,1,2519,13,25175.0,3,7420,12684,98,11606,0,5090000.0,655,7119
0,1,2519,14,11001.0,1,10,12337,103,11284,0,6700000.0,655,8002
0,1,2519,14,11001.0,3,4530,13455,365,12255,0,124188896.0,655,5470
0,1,2519,14,11001.0,1,10,12666,64,11402,0,19700000.0,655,5470
0,1,2519,14,11001.0,3,8299,12146,86,11069,0,120000.0,655,186
0,0,2519,14,11001.0,3,1812,12464,109,11214,0,1510000.0,655,6776
0,0,2519,29,76001.0,1,10,12724,68,11522,0,10500000.0,655,5470
0,1,2519,14,11001.0,1,10,13238,206,12059,0,48300000.0,655,7524
0,0,2519,14,11001.0,1,10,11803,150,10686,0,0.0,655,7839
0,0,2519,28,73001.0,0,9820,11067,60,10247,0,220000.0,655,7263
0,0,2519,14,11001.0,3,163,12469,179,11105,0,2430500.0,655,8002
0,0,2519,2,81736.0,1,10,11423,46,10176,0,1040000.0,655,1074
0,1,2519,14,11001.0,3,5011,12503,25,11205,0,19760000.0,655,3282
0,1,2519,14,11001.0,3,8699,12343,70,11118,0,6090000.0,655,3158
0,1,2519,1,5001.0,3,1311,12864,116,11676,0,27080000.0,655,3392
0,0,2519,1,5001.0,3,1062,10988,35,10337,0,300000.0,655,853
0,1,2519,4,13001.0,3,6920,12601,51,11612,0,4052000.0,655,7682
0,0,2519,1,5615.0,3,240,10346,10,9193,0,2000000.0,655,175
0,1,2519,24,63001.0,3,9820,11029,102,9846,0,5620000.0,655,163
0,0,2519,1,5266.0,1,10,12622,116,11508,0,2000000.0,655,5470
0,0,2519,1,5001.0,1,10,12564,47,11526,0,6000000.0,655,2249
0,1,2519,1,5001.0,3,4512,13144,49,11760,0,55000000.0,655,1758
0,1,2519,1,5001.0,3,7010,12073,13,10842,0,11300000.0,655,4790
0,0,2519,1,5631.0,1,10,12656,9,11376,0,5000000.0,655,853
0,0,2519,1,5001.0,3,9004,11817,124,10908,0,4573487.0,655,7214
0,1,2519,21,52254.0,3,1084,13014,74,11833,0,46460000.0,655,3412
0,0,2519,26,68081.0,3,9820,11139,7,9936,0,5950000.0,655,7350
0,0,2519,13,25175.0,3,4512,13030,78,11838,0,49100000.0,655,6852
0,0,2519,3,8758.0,3,4752,12396,72,11139,0,10676000.0,655,6905
0,1,2519,1,5001.0,2,9820,11952,15,10738,0,9200000.0,655,7737
0,0,2519,3,8001.0,1,10,12710,31,11679,0,37180000.0,655,853
0,1,2519,1,5088.0,1,10,12441,20,11664,0,0.0,655,175
0,0,2519,3,8001.0,3,4781,12476,29,11344,0,0.0,655,4387
0,0,2519,1,5101.0,3,9602,11625,9,10451,0,7843000.0,655,7238
0,1,2519,3,8001.0,3,4512,11827,101,10559,0,1500000.0,655,7524
0,0,2519,3,8001.0,3,9524,11519,141,10223,0,420000.0,655,5291
0,1,2519,3,8758.0,1,10,12435,37,11451,0,8670000.0,655,2205
0,1,2519,3,8001.0,3,5611,11565,36,10388,0,3680000.0,655,8002
0,1,2519,3,8758.0,1,10,12804,117,11617,0,51118000.0,655,6001
0,0,2519,3,8001.0,3,8211,11246,58,9172,0,3800000.0,655,183
0,0,2519,4,13001.0,3,8622,12756,68,11559,0,0.0,655,3450
0,0,2519,4,13001.0,3,5613,12770,78,11219,0,4500000.0,655,3382
0,0,2519,3,8001.0,3,7310,13156,299,11952,0,11420000.0,655,5470
0,0,2519,4,13001.0,1,10,13171,153,11980,0,7530000.0,655,5470
